text,label,novel
my old computer is not working anymore and i want a new one with sleek design and great display.,1,0
i cannot put a thick laptop into my bag.,1,0
i want a computer that do super fast startup and have a good processor.,1,0
the computer should have both reasonable price and performance.,1,0
i am in need of a new computer that has a good processor and a practical appearance.,1,0
i need an inexpensive device for school.,1,0
my old computer has broken down and i am finding a new one that is easily upgradable with a high performance-cost ratio.,1,0
"i need a computer that runs silently with a good battery life, also it should stay within my budget.",1,0
i need a good looking computer which stays within my budget.,1,0
i don't want my old computer anymore and i am finding a new one that boots fast.,1,0
i need to have the best use of money for the best computer.,1,0
i want to buy a new gaming laptop for myself that play games well and have a large storage.,1,0
our old computer are not fast enough so we need some new one with higher performance-cost ratio.,1,0
i am buying a new laptop for my daughter's graduation and it should be fast and have beautiful colours.,1,0
i am finding a family laptop for my home and i want one that come with high performance-cost ratio.,1,0
i am finding a fast laptop with a high performance-cost ratio.,1,0
i am willing to do some research for a good computer and currently i am finding one that play games with good frame rate.,1,0
i need to replace my old computer so i need a new computer with excellent cpu.,1,0
my old tablet finally died and i need a new one that comes with the right price.,1,0
i am finding myself a new computer that has an amazing screen with a high performance-cost ratio.,1,0
my regular computer needs repairment so i am finding a new one with nice display in a low cost.,1,0
i am finding a fast computer.,1,0
"i like things that are good looking, my new computer should not be left out.",1,0
i am working to find the best price for the best computer.,1,0
i need a new computer that my video games can function well on it.,1,0
i want to find a fast computer for my cousin.,1,0
i am finding for a nice laptop that is slim and fast.,1,0
my old computer needs replacement and the new one should be fast and has a perfect size.,1,0
i am finding a new computer for myself.,1,0
a computer with a high performance-cost ratio is what i want.,1,0
i want a light computer but it should have a large screen.,1,0
i need a light and fast computer with a high-resolution screen.,1,0
i need a computer with great performance and cost.,1,0
it is time to replace my old computer to a quicker one with a better performance-cost ratio.,1,0
i have limited budget for a good computer.,1,0
my old computer is still going on well but i decided to go on with a new one with a longer battery life.,1,0
i need a nice looking computer.,1,0
i need a engineering work station so the computer should be fast.,1,0
specs are what i look into when buying a new computer so the keyboard and trackpad must be decent.,1,0
"i don't do gaming so i just need a nice, clear touchscreen.",1,0
i have got big hands so i need huge touchscreen and keyboard.,1,0
i am replacing an old computer and the new one should come with great price.,1,0
my old computer is not working and i am finding a computer with a high performance-cost ratio.,1,0
my wife wants to play more demanding games so she needs a computer that handles games well and quick.,1,0
i am looking for a new economical computer for myself and it should bootup fast and have a beautiful display.,1,0
i want to change my old computer and i need a fast one with excellent battery life.,1,0
i would like to have a new computer that has great colours.,1,0
i would carry my computer around so it would be great to be thin.,1,0
i have a few points to note for a perfect laptop.,1,0
i don't mind spending more money for a good computer.,1,0
i need a replacement for my recently died computer and i want it to be easy to setup the new computer.,1,0
"my computer should be fast and accessible, and should have a good graphic performance.",1,0
i need a computer which is fast and light.,1,0
i need a business flagship with a great price.,1,0
my girlfriend needs a computer that has a good design and a high performance-cost ratio.,1,0
i am an engineering student and am finding myself a fast computer with superb specs.,1,0
my wife asks me to buy her an economical yet powerful computer.,1,0
i am looking for a computer that will boot fast and play games with ease.,1,0
i need to have plenty of ports on the computer.,1,0
i want the computer to run fast while i am at school.,1,0
i want to find a computer with high performance-cost ratio that would be perfect to use in trips.,1,0
i am looking for a computer with high performance-cost ratio.,1,0
i am finding a new laptop for myself that has a high performance-cost ratio.,1,0
i need a light computer.,1,0
my old computer just died and i need one that startup smoothly.,1,0
i am finding a fast computer.,1,0
i am replacing my old computer and the new one should restart quickly with an excellent price.,1,0
speed is what i look into when purchasing a new computer.,1,0
i don't want to annoy others so i need a quiet computer.,1,0
i do a couple of tasks on my laptop si i want it to run games well with a reasonable price.,1,0
the bootup should be fast on my computer.,1,0
i enjoy gaming and i am finding a laptop that perform well in that.,1,0
i want to play games well on a fast computer.,1,0
"as a fairly active gamer, i need a computer that is solid and bootup fast.",1,0
i need a light computer that is perfect for my business.,1,0
i skype with my friends so i need a good sound output so i hear them clearly.,1,0
i need a new laptop that is fast and has a nice backlit keyboard.,1,0
"i want the computer to stay within a reasonable price range, having a sensible fingerprint sensor and large amount of storage.",1,0
i am finding a new gaming computer for myself and i want it to be fast and upgradeable.,1,0
i am trying to find a new computer that is reasonably priced.,1,0
"i am planning to buy a new laptop and i want to new one to be silent, lightweight and easy to use.",1,0
i hope i can afford a fast computer.,1,0
i like computers with beautiful colour and large screen.,1,0
i am looking for a high quality computer with a great price.,1,0
i am into gaming and i am finding a new computer that is fast and own a gorgeous screen.,1,0
i need some great specs for my computer.,1,0
i am finding the best computer that worth my money.,1,0
i am finding a new computer with nice price and good speed.,1,0
i am finding a beautiful laptop with a good screen size and a full keyboard.,1,0
i need a high performance-cost ratio computer.,1,0
i would use the computer for engineering purposes and it should be good looking and affordable.,1,0
i am buying a slim and lightweight computer for my wife.,1,0
a fast computer that is cheap and easy to use would be my ideal computer.,1,0
"my old computer is not working and i need a light, new computer with a good screen.",1,0
i need the computer to keep cool when i am gaming.,1,0
my old computer isn't working and i need to find a new one that is sleek and light.,1,0
"i need a new laptop for work and it should be affordable, fast and sleek.",1,0
my dream computer is a powerful laptop.,1,0
the computer i want should have high performance-cost ratio and a normal look.,1,0
"i am willing to wait for a computer that fits my needs: small, light and solid.",1,0
i have used my old computer for over 10 years and now i need a nice looking computer.,1,0
i don't want to carry a heavy mechine around.,1,0
i don't have much requirement for my new computer.,1,0
i would like to have a cute laptop with nice design and powerful processor.,1,0
i am not really a gamer but i need a computer that is fast and economical.,1,0
i need a lightweight laptop to bring it around.,1,0
i have so many much more complicated things to do so i hope the setup would be easy.,1,0
i need a computer that run any games well.,1,0
i hope my money is well spent on a high quality computer.,1,0
i won't depend too much on this laptop so i just need it to have a high performance-cost ratio.,1,0
i cannot an expensive computer but i still want it to be solid with good viewing angles.,1,0
i am finding a laptop with a high performance-cost ratio.,1,0
"i am buying a christmas present and it should be quick, solid and light.",1,0
i don't have much money so i would need a computer with reasonable price.,1,0
i am replacing my old computer which i want a new one that has cool design and beautiful display.,1,0
i would do a lot of checks to make sure i buy the fastest computer with the best price.,1,0
i want to have a new laptop of office work and i need it to be lightweight and sleek with good build quality.,1,0
i need a computer with good processor.,1,0
my old computer needs replacement and i want a new one that has a nice screen and good keyboard.,1,0
i need a well-built computer which is light and sleek so i can carry it around.,1,0
i edit photos for a living and that's why the graphics must be great on my computer.,1,0
i want a computer that runs fast.,1,0
i need a new computer that comes with a good price.,1,0
i would like to have a computer with long battery life and can run fast and quietly.,1,0
i have just retired and i am finding a computer for my personal use.,1,0
the computer should be light.,1,0
i would need to have enough ram to store all my files.,1,0
i like gaming so i need a laptop that run games well.,1,0
i need a computer to write my master's papers so i need it to be light and portable to take it around.,1,0
my friend askes me to buy her a lightweight computer.,1,0
i need a fast computer.,1,0
"as a college student, i don't have high expectations on a cheap computer.",1,0
a good looking computer with a great price is what i need.,1,0
i hope my money is well paid for a high performance computer.,1,0
i am finding a computer for myself that is speedy and easy to setup.,1,0
i want to play games with my friends so i need a new computer that can do well in that aspect.,1,0
i care about gaming experience so i want a computer that play games with no problem.,1,0
i am lacking money currently but i need a computer with nice price.,1,0
i have used my old computer for a long time and i am planning to replace it with a new one that has a much faster processing speed.,1,0
i need a thin computer with an appealing design and a light weight.,1,0
i want to have a fast and quiet computer.,1,0
i have tried multiple brands and this time i am finding myself a portable computer.,1,0
i have limited budget and i am finding a computer with fast fingerprint sensor and awesome battery life.,1,0
i need a computer that works good for working and gaming without a high price.,1,0
my step son wants a computer with not much bloatware.,1,0
i want a computer that run games without issues.,1,0
i need a light computer that runs fast.,1,0
i am not sure what computer i should get but i am sure i need one that bootup quickly and display amazingly.,1,0
i need the screen to be great enough but not affecting the weight.,1,0
i want to have a computer that would fit into my bag.,1,0
my budget is limited and i need a computer with a great price.,1,0
i am new to laptop and i need a laptop that has a good touch screen and a big hard drive but a good price.,1,0
i am taking the computer around so i need it to be sleek and lightweight.,1,0
"the computer should be slim, light and looking good.",1,0
i need a fast computer in both typing responsiveness and log in time.,1,0
i have got a lot of files so i need plenty of memory.,1,0
computer is my business and i am finding myself a computer with high performance-cost ratio.,1,0
i am getting a new computer for myself and i need it to be good looking with a great price.,1,0
i want to change my old laptop and something cool that handle most games would be perfect.,1,0
"i am in need of a new computer with a nice screen, a convenient fingerprint reader and good battery life.",1,0
i am just a student so i need a computer with low price.,1,0
i am not having much money at the moment and what i need is a computer with a reasonable price.,1,0
i want a computer with great colour and viewing angles.,1,0
i am a student and am looking for a laptop that has a long battery life and a nice screen.,1,0
speed is important for my computer.,1,0
a quick and responsive computer is what i need.,1,0
i would be willing to pay an affordable price for a computer with amazing sound.,1,0
i am taking the laptop to school so i want it to be light.,1,0
i like to stick to one brand while purchasing computer and this time i want one with unique look.,1,0
i want to find a computer that can navigate fast and easily.,1,0
i need some good price for my computer as i am lacking money.,1,0
a fast computer would be preferrable.,1,0
price is an important element when i purchase a new computer.,1,0
i need a computer with a high-performance-cost ratio.,1,0
i am not satisfied with my old computer and i want a new one that is light and portable.,1,0
i am using the computer for work so i need it to be fast and have bright colours.,1,0
i need a computer as a present for my little brother and he like it to be aesthetically pleasing and response fast.,1,0
i need a fast computer.,1,0
my wife needs a laptop for studying and she wants it to boot up fast and last long with a low cost.,1,0
"i need a new computer that is lightweight, quiet and fast.",1,0
my old computer is too slow and heavy so i want a completely different one.,1,0
i am not having a huge budget and so i need a computer with amazing price.,1,0
"i did a lot of researching and i need a new computer that is fast, cheap, light and slim.",1,0
i am finding a computer for light office work and it should boot up quietly and be easy to set up.,1,0
the computer i need would be the one with strong gpu and hardware.,1,0
i want a new gaming laptop that play my games well with a good price.,1,0
my old computer isn't working so i need a new computer which is fast and responsive.,1,0
i need a new notebook and i want it to be light and easy to use.,1,0
price is what i look into when purchasing a new computer.,1,0
"as a college student, i am finding a sturdy computer with a nice revolving camera.",1,0
i recently hired a new assistant and i want to buy her a handy computer.,1,0
i want to change my old computer and i am finding a new one that is nice looking and has nice backlit keys.,1,0
i need a fast computer,1,0
i need a new computer to go to work so it should be fast and sturdy.,1,0
"i plan to place a new laptop in my home and it should be lightweight, fast and quiet.",1,0
i am finding a replacement for my old computer that a longer battery life is expected.,1,0
i hope the price would be reasonable for a good computer.,1,0
i donâ€™t want my computer to slow down so a no is for those bloatware.,1,0
a fast computer with a reasonable price is what i need.,1,0
i am looking for a nice computer with a low price for everyday use.,1,0
"i need a new work station that is fast, light and good looking.",1,0
a light computer is preferable.,1,0
i am considering changing my old computer and what i want is a computer that run most games well within a reasonable price range.,1,0
"for a light use of laptop, i am finding one that runs quickly with a low cost.",1,0
i need a computer with cool extra hard drive that is fast and clear.,1,0
i use a laptop when i go to school and i need a fast one.,1,0
i need a good functioning fan to be along with my computer.,1,0
i need a computer that can play games fast and smoothly.,1,0
i need a new laptop for grad school and it should be fast and sturdy and great looking.,1,0
i plan to buy a travel notebook so it should be slim and lightweight.,1,0
good specs would make the computer more powerful.,1,0
i am finding a nice computer that would fit my budget.,1,0
i am looking for a new laptop that is fast and comfortable to type on.,1,0
speed is what i concerned when buying a new computer.,1,0
i want to purchase a new computer that is fast and easy to setup.,1,0
i spend long time working on document so it's good to have a non-glare screen.,1,0
i want to save my money for a good computer.,1,0
i am finding myself a new computer that has a good battery life and runs cool.,1,0
i need to bring my computer to school so i hope it would be lightweight.,1,0
the computer i want should run intense games perfectly and have a high performance-cost ratio.,1,0
i want a fast computer with a reasonable price.,1,0
i am leaving my old computer for my family and finding myself a new computer that run games well.,1,0
i am a student so i need a computer that come with the perfect size and run games well.,1,0
i am coming from a high end pc and i need a laptop that plays games well.,1,0
i am irritanted with the other pcs and i want to find one that startup fast with no bloatware.,1,0
i am on budget gaming but i need a computer that turns on quickly.,1,0
my grandson wants a new computer that would be great for gaming.,1,0
i need a functional yet inexpensive model.,1,0
i took hours to do my paper so the computer should have impressive battery life.,1,0
i am new into computer gaming and i want something that runs smoothly with reasonable price.,1,0
i do a lot of travel so i am finding a slim computer that can do well at that.,1,0
i am planning to buy a new computer and i want it to play games well without a high price.,1,0
i want a light computer which can runs fast.,1,0
"i got tired of using the old computer from office so i need a new, fast computer.",1,0
i need a computer that is light and start up fast.,1,0
the old computer is not satisfying so i want to find a new computer that comes with great value.,1,0
i want a light computer with a backlit keyboard and a clear bright screen.,1,0
i hope my money is well spent on a powerful computer.,1,0
i enjoy staying with a high quality brand and now i want a new computer with a good fingerprint sensor and a large amount of storage.,1,0
"i am changing my computer of many years to a thinner, lighter and sleeker version.",1,0
"as a college student, i need a computer that has a large memory and high speed.",1,0
i am not a computer savvy and i want a computer that is easy to use.,1,0
i dislike bloatware so it's better to be none of them.,1,0
"i need to change to a new computer and i want it to have high portability, good display and good battery life.",1,0
i don't have a big budget so i need a computer that comes with a good price.,1,0
i need a fast computer to get my things done quickly.,1,0
i am looking for a new computer that has a sharp screen and a fast hard drive.,1,0
i need a computer with long battery life.,1,0
i need a new computer that is light and thin with the greatest screen size.,1,0
i want a computer with high performance-cost ratio.,1,0
i got to use a lot of graphics and processing-heavy programmes so i hope the computer has no issues with them.,1,0
i am saving money so i want a well priced computer.,1,0
i am finding a new computer that has a high performance-cost ratio.,1,0
i am trying to change my perfence in branding and i need a light computer.,1,0
i am changing from desktop to laptop and i want one that bootup fast with a quiet fan.,1,0
i am a teacher and i need the computer to look top notch.,1,0
"for the money i paid, i hope it come back with a high quality computer.",1,0
i need a definite improvement from my old laptop and i want to be fast without much bloatware.,1,0
"i focus on the appearance of a laptop that it should be sleek, nice looking and light.",1,0
i need a good gaming laptop.,1,0
i do a lot of research online and i am finding a new computer with a reasonable price.,1,0
i need a light computer so i can carry it around.,1,0
i need a computer with good specs.,1,0
i want the computer to provide great performance with games and stay cool while playing.,1,0
"for the specs, i specifically need a near-full-size keyboard and a non-glossy screen.",1,0
i would like to have a light and fast computer.,1,0
i know a lot of things about computer and i am now finding a economical computer for myself.,1,0
i need the computer to be within reasonable price.,1,0
speed is what i consider when purchasing a new computer.,1,0
i like computers with sleek design.,1,0
i am not into waiting so i need a computer that do fast bootup.,1,0
i need the computer to be big for me with a nice sound output.,1,0
i enjoy playing games and i want a new laptop that is good for gaming with a great price.,1,0
i have limited budget on my new computer so it should have a great price.,1,0
"i am finding a new laptop that is solid, quick and economical.",1,0
i don't have much requirement on my new computer but i want it to be easy to setup.,1,0
i don't have much criteria for my new computer.,1,0
i need the best use of my money on a good computer.,1,0
a computer with high performance-cost ratio is what i need.,1,0
i want a computer that bring up my application quickly and i can work on a large screen with sharp imaging.,1,0
i need the computer to be light enough that i can carry it around.,1,0
i look into various factors while buying my new computer.,1,0
i want a compact computer which can do fast browsing.,1,0
i expect to see some good pictures on the screen.,1,0
i want to computer to have a low price.,1,0
i am looking for a different brand from my current computer which would be fast and well priced.,1,0
i am finding myself a new laptop that is cheap and fast.,1,0
"my old computer needs replacement and i want the new computer to come with a quiet keyboard and well spaced, sized keys.",1,0
my husband has to go for business trip so he needs a laptop with perfect size.,1,0
i have got some expectations on my new computer as i need an amazing monitor and a good keyboard.,1,0
i do streaming and gaming so i am finding a new laptop that does perfectly in both aspects.,1,0
i need a great computer for work that comes with a high performance-cost ratio.,1,0
a good hard disk with a reasonable price is what i need.,1,0
"i am finding a replacement for my old computer and i want a new one that run games perfectly and incredibly fast, but with a great price.",1,0
i need a new computer to support my work that is solidly built with low cost.,1,0
my old computer is too slow and heavy so i need a new one.,1,0
i do coding and i want a computer with a nicely-spaced backlit keyboard with quiet keys.,1,0
a cool computer which can run fast is what i need.,1,0
i want to have a new computer that is light and fast with a good screen size.,1,0
my old computer doesn't work for me anymore so i need a new one with decent touch screen and sound.,1,0
i need a fast computer with high performance-cost ratio.,1,0
my old computer doesn't work for me anymore and i need a responsive one with high performance-cost ratio.,1,0
my old computer needs replacement and the new one should come with good speakers and video quality with a low cost.,1,0
i need a computer that has solid performance with reasonable price.,1,0
i want a computer with high speed and a tiny power adapter.,1,0
i am finding some recommendations for a new computer that is fast and have both nice cooling system and battery life.,1,0
"my dream computer would the one with marvellous design, pleasing audio system and amazing specs.",1,0
my old computer is not working and i need a new with good size and colour.,1,0
i would like to have a sleek design for my next computer.,1,0
i would look into the specs the computer comes with so it should have a large hard drive and a decent ram.,1,0
i used to use pcs but now i want a laptop with good hardware.,1,0
the computer i want should have excellent thermals and graphics.,1,0
i am finding the best computer with the most reasonable price that can run games smoothly.,1,0
i look into many reviews and all i want is a computer that is hast and cheap.,1,0
my wife and i want to change the computer of our home and we are finding a computer that works quietly and fast.,1,0
i am finding a fast computer that runs smoothly.,1,0
i want a fast computer with a good shell.,1,0
i am finding a new computer that the keyboard is nice looking and comfortable.,1,0
i need a good computer with good price.,1,0
i want a computer that is lightweight and fast.,1,0
the money i paid should be exchanged for the best computer.,1,0
i would have no complaints as long as the new computer would start up in seconds.,1,0
i need a computer within my budget.,1,0
my old computer died so i need a new one immdiately with good picture and sound in a right price.,1,0
i would use the laptop on a daily basis and there should be a lot of ram.,1,0
a well-priced computer would be perfect for me.,1,0
i want to have the best use of the money i would spend on the computer.,1,0
i need a new computer for myself that is light but has a huge screen with decent graphics.,1,0
"my old computer doesn't serve me anymore and i am getting myself a new one with good specs, good design and good build quality.",1,0
i work for a long time so the battery life should be long enough to support my work.,1,0
i cannot play certain games with my friend on my old computer so i need a new laptop that play games well and stay in a good price.,1,0
i need to replace my old computer and i need the new one to be cost effective with a big screen.,1,0
i want to try something new that come with a cool touchscreen and sturdy hinges.,1,0
i want to gift a nicely priced computer to my brother-in-law.,1,0
i am finding myself a new computer that is sturdy with great body colour.,1,0
i need a computer with impressing build.,1,0
illuminated keyboard seems cool to me.,1,0
i don't have a huge budget so i need a computer with a good price.,1,0
"i do create art in photoshop, and as a result i need a computer that can handle large files perfectly.",1,0
i am sensitive to sound so i want the best sound quality on my computer.,1,0
i would look carefully with all the specs that come with the computer and i want it to boot up fast with a great price.,1,0
